DataTime,SourceIP,DestIP,Category,Priority,Description, SourcePort, DestPort
4/6/2012 18:01,10.32.5.56,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,49935
4/6/2012 18:01,10.32.5.51,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,49936
4/6/2012 18:01,10.32.5.54,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,49957
4/6/2012 18:01,172.23.1.110,172.23.0.10, Generic Protocol Command Decode,3, [1:2100538:17] GPL NETBIOS SMB IPC$ unicode share access ,1109,139
4/6/2012 18:01,172.23.1.110,172.23.0.10, Generic Protocol Command Decode,3, [1:2100538:17] GPL NETBIOS SMB IPC$ unicode share access ,1109,139
4/6/2012 18:01,172.23.1.110,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,1110,445
4/6/2012 18:01,172.23.1.110,172.23.0.10, Generic Protocol Command Decode,3, [1:2102466:9] GPL NETBIOS SMB-DS IPC$ unicode share access ,1110,445
4/6/2012 18:02,10.32.5.57,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,49969
4/6/2012 18:02,10.32.5.54,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,49974
4/6/2012 18:02,10.32.5.56,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,49988
4/6/2012 18:03,10.32.5.56,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50003
4/6/2012 18:03,10.32.5.59,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50004
4/6/2012 18:03,10.32.5.54,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50009
4/6/2012 18:04,10.32.5.56,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50039
4/6/2012 18:04,10.32.5.58,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50040
4/6/2012 18:04,10.32.5.54,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50056
4/6/2012 18:05,10.32.5.52,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50074
4/6/2012 18:05,10.32.5.54,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50075
4/6/2012 18:05,10.32.5.56,172.23.0.108, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,50077
4/6/2012 18:06,10.32.5.52,172.23.252.10, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1157
4/6/2012 18:06,10.32.5.54,172.23.252.10, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1163
4/6/2012 18:06,10.32.5.56,172.23.231.65, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1176
4/6/2012 18:07,10.32.5.56,172.23.233.38, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1440
4/6/2012 18:07,10.32.5.52,172.23.233.156, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1445
4/6/2012 18:07,10.32.5.54,172.23.252.10, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1221
4/6/2012 18:08,10.32.5.56,172.23.231.66, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1240
4/6/2012 18:08,10.32.5.54,172.23.231.199, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1241
4/6/2012 18:08,10.32.5.59,172.23.231.68, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1242
4/6/2012 18:09,10.32.5.52,172.23.234.20, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1689
4/6/2012 18:09,10.32.5.54,172.23.234.253, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1691
4/6/2012 18:09,10.32.5.56,172.23.231.64, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1288
4/6/2012 18:10,10.32.5.51,172.23.1.168, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1618
4/6/2012 18:10,10.32.5.56,172.23.1.168, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,1624
