DataTime,SourceIP,DestIP,Category,Priority,Description, SourcePort, DestPort
4/5/2012 22:15,10.32.5.54,172.23.233.150, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,6650
4/5/2012 22:15,10.32.5.58,172.23.233.33, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,6651
4/5/2012 22:15,10.32.5.56,172.23.233.9, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,6667,6657
4/5/2012 22:15,172.23.0.227,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,3420,445
4/5/2012 22:15,172.23.0.227,172.23.0.10, Generic Protocol Command Decode,3, [1:2102466:9] GPL NETBIOS SMB-DS IPC$ unicode share access ,3420,445
4/5/2012 22:15,172.23.0.236,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,3504,445
4/5/2012 22:15,172.23.0.236,172.23.0.10, Generic Protocol Command Decode,3, [1:2102466:9] GPL NETBIOS SMB-DS IPC$ unicode share access ,3504,445
4/5/2012 22:15,172.23.0.215,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,3444,445
4/5/2012 22:15,172.23.0.215,172.23.0.10, Generic Protocol Command Decode,3, [1:2102466:9] GPL NETBIOS SMB-DS IPC$ unicode share access ,3444,445
4/5/2012 22:15,172.23.0.229,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,3484,445
4/5/2012 22:15,172.23.0.229,172.23.0.10, Generic Protocol Command Decode,3, [1:2102466:9] GPL NETBIOS SMB-DS IPC$ unicode share access ,3484,445
4/5/2012 22:15,172.23.0.216,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,3471,445
4/5/2012 22:15,172.23.0.216,172.23.0.10, Generic Protocol Command Decode,3, [1:2102466:9] GPL NETBIOS SMB-DS IPC$ unicode share access ,3471,445
4/5/2012 22:15,172.23.0.219,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,1153,445
4/5/2012 22:15,172.23.0.219,172.23.0.10, Generic Protocol Command Decode,3, [1:2102466:9] GPL NETBIOS SMB-DS IPC$ unicode share access ,1153,445
4/5/2012 22:15,172.23.0.232,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,3431,445
4/5/2012 22:15,172.23.0.232,172.23.0.10, Generic Protocol Command Decode,3, [1:2102466:9] GPL NETBIOS SMB-DS IPC$ unicode share access ,3431,445
4/5/2012 22:15,172.23.0.214,172.23.0.10, Generic Protocol Command Decode,3, [1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt ,3482,445
